type,category,subcategory,priority,message
medical,medical,injury,1,emergency pls send help. injured in an accident. breathing normally. immediate action needed. time critical.
medical,medical,unconscious,2,Help help. got knocked out. need help asap.
disaster,fire,vehicle_fire,3,Help help. vehicle on fire. truck caught fire. send emergency services.
disaster,utility,power_outage,4,urgent help needed. electric grid down. Please send help immediately.
medical,medical,illness,2,We need help. food poisoning maybe. Patient is elderly woman. real bad. Send help right away.
medical,medical,illness,2,Urgent medical situation here. seizure happening. situation bad. send someone fast pls.
disaster,utility,water_outage,2,need help now. pipes dry. water system down. help needed now.
disaster,supply_request,food,3,Please help!. need food and water. send emergency services.
medical,medical,light_bleeding,3,Need urgent medical assistance!. small cut bleeding. confused. need attention now. respond asap.
medical,medical,heavy_bleeding,1,help plz. deep cut bleeding heavily. unresponsive. breathing normally. severe. need help asap.
disaster,trapped,under_debris,1,hlp pls. stuck under the debris. need immediate response.
disaster,supply_request,food,3,hlp pls. out of food. waiting for help.
medical,medical,light_bleeding,3,theres emergency here. scrape bleeding a little. Patient is child. real bad. Please hurry.
medical,medical,illness,2,guy need help bad. allergic shock or smth. Patient is teenager. alert and conscious. breathing normally. time critical.
disaster,utility,power_outage,4,This is an emergency. lost power. no electricity for hours. Please respond.
medical,medical,illness,2,medical situation bad. stroke symptoms. Patient is child. unresponsive. immediate action needed. respond asap.
medical,medical,light_bleeding,3,This is a medical emergency. minor bleeding. Patient is adult male. shallow breathing. come quick.
medical,medical,heavy_bleeding,1,Urgent medical situation here. hemorrhaging. Patient is elderly man. life threating. come quick.
medical,medical,injury,1,Emergency!. mult injuries. rapid breathing. Waiting for medical assistance.
disaster,utility,gas_leak,1,Help help. smell gas everywhere. Send someone quickly.
disaster,infrastructure_damage,other,4,anybody there. communication towers down. infrastructure damaged. respond asap.
medical,medical,illness,2,Need paramedics now. anaphylactic shock. in and out of consciousness. stopped breathing. time sensitive hurry. Time is critical.
medical,medical,illness,2,Please help!. severe allergic reaction. Patient is teenager. in and out of consciousness. situation deteriorating rapidly. come quick.
medical,medical,illness,2,medical situation bad. someone is very sick. Patient is senior citizen. condition worsening. Waiting for medical assistance.
disaster,trapped,under_debris,1,mayday. trapped under stuff help. trapped beneath the wreckage. pls send help asap.
disaster,flooding,flash_flood,1,SOS. flash flood area. rapid flooding. Waiting for assistance.
disaster,supply_request,food,3,Please help!. need food bad. no food. Waiting for assistance.
disaster,infrastructure_damage,other,4,help!!. public facility destroyed. hurry pls.
medical,medical,heavy_bleeding,1,Need urgent medical assistance!. so much bleeding idk what to do. stopped breathing. urgent asap. pls respond quick.
medical,medical,unconscious,2,theres emergency here. barely conscious. Patient is senior citizen. really urgent. need help asap.
disaster,supply_request,clothing,4,need assistance rn. clothing destroyed. need cloths. pls send help asap.
medical,medical,illness,2,Urgent medical situation here. severe illness. Patient is infant. in and out of consciousness. stopped breathing. Send help right away.
medical,medical,unconscious,2,theres emergency here. unconscious but breathing. Patient is elderly woman. breathing normally. time sensitive hurry. send amb now.
medical,medical,light_bleeding,3,omg need help. cut needs stitches. Patient is middle-aged person. labored breathing. help needed urgent.
medical,medical,light_bleeding,3,SOS. light blood loss. unconscious. really urgent. pls send ambulance asap.
disaster,other,,,emergency situation. Send someone quickly.
medical,medical,light_bleeding,3,send amb pls. cut needs stitches. time sensitive. send amb now.
disaster,infrastructure_damage,other,4,anybody there. facility destroyed. comm towers down. Send someone quickly.
medical,medical,unconscious,2,Someone is hurt!. fainted. unresponsive. labored breathing. condition getting worse. immediate response needed.
disaster,utility,water_outage,2,Help help. no running h2o. help needed now.
disaster,flooding,street_flooding,3,Requesting immediate help. road impassable water. Please respond.
medical,medical,heavy_bleeding,1,Someone is hurt!. hes bleeding out. shallow breathing. Time is critical.
medical,medical,unconscious,2,Medical emergency!. guy knocked out cold. unresponsive. real bad. need medical help bad.
disaster,other,,,Anyone there?. pls send help asap.
disaster,flooding,house_flooding,2,emergency situation. house is flooding. Send someone quickly.
medical,medical,unconscious,2,theres emergency here. laying unconcious. Patient is adult male. Send help right away.
disaster,flooding,street_flooding,3,need help now. water on all the roads. can't get out due to flooded roads. send help quick.
disaster,supply_request,food,3,urgent help needed. need food and water. starving. hurry pls.
medical,medical,injury,1,help plz. broken bone suspected. Patient is adult female. respond asap.
medical,medical,illness,2,Medical emergency!. throwing up alot. immediate response needed.
disaster,missing_person,elderly,1,omg help. can't find elderly relative. Over and out.
medical,medical,injury,1,theres emergency here. accident victim injured. Patient is middle-aged person. disoriented. Send help right away.
medical,medical,light_bleeding,3,SOS. minor injury with bleeding. Patient is teenager. in and out of consciousness. situation deteriorating rapidly. Send someone as fast as possible.
disaster,supply_request,clothing,4,theres emergency. need cloths. clothes destroyed. Need help now.
medical,medical,unconscious,2,pls help. person not waking up. Patient is middle-aged person. Please respond quickly.
medical,medical,injury,1,Someone is hurt!. accident victim injured. Patient is infant. stopped breathing. hurry pls.
disaster,infrastructure_damage,bridge,3,help needed asap. bridge fell. bridge collapse. respond asap.
disaster,utility,gas_leak,1,urgent. gas leak in the area. waiting for help.
disaster,structure_damage,light,4,Need urgent assistance!. light damage. Requesting immediate response.
disaster,fire,structural_fire,2,help needed asap. fire in the building. pls respond.
medical,medical,injury,1,Help help. person injered. Patient is adult female. need ems.
medical,medical,unconscious,2,theres emergency here. person is unconscious. Patient is senior citizen. labored breathing. life threatening. come quick.
disaster,utility,water_outage,2,emergency help. water stopped. water system down. need help rn.
medical,medical,injury,1,help!!. arm broke or smth. labored breathing. getting worse. Send someone as fast as possible.
medical,medical,heavy_bleeding,1,SOS. bleeding from head. unresponsive. critical. Send help right away.
disaster,utility,water_outage,2,need assistance rn. water stopped. send someone quick.
disaster,utility,water_outage,2,Mayday mayday. water system fail. send help quick.
medical,medical,illness,2,help plz. severe abdominal pain. Patient is middle-aged person. Send help right away.
disaster,other,,,urgent help needed. send someone quick.
medical,medical,unconscious,2,need help asap. going in n out of conciousness. Patient is child. needs immediate attention. Please respond quickly.
disaster,utility,gas_leak,1,help us. smells like gas bad. Send someone quickly.
medical,medical,illness,2,Need paramedics now. asthma attack. Patient is adult male. confused. Please hurry.
disaster,trapped,under_debris,1,help needed asap. trapped under stuff help. Please send help immediately.
medical,medical,unconscious,2,Need paramedics now. he out cold. Patient is adult female. unconscious. Send paramedics now.
medical,medical,unconscious,2,pls help. unconscious and not breathing. Patient is elderly man. disoriented. stopped breathing. time sensitive. send paramedics rn.
disaster,missing_person,child,1,urgent. cant find my kid. need immediate response.
disaster,supply_request,food,3,need help now. out of food. Please respond.
medical,medical,illness,2,We need help. allergy reaction. Patient is elderly man. confused. real bad. Send paramedics now.
medical,medical,illness,2,We need help. seizure happening. Patient is teenager. not breathing. severe. Waiting for medical assistance.
medical,medical,illness,2,need help asap. stomach hurts real bad. semi-conscious. stopped breathing. hurry pls. need help asap.
disaster,missing_person,adult,2,We need help. person disappeared. someone hasn't returned. send someone quick.
medical,medical,illness,2,medical situation bad. suddenly became ill. difficulty breathing. Need medical help urgently.
medical,medical,light_bleeding,3,Medical emergency!. small cut bleeding. Patient is young adult. semi-conscious. Please hurry.
disaster,missing_person,elderly,1,emergency help. cant find elderly relative. Send emergency services.
medical,medical,light_bleeding,3,omg need help. small cut bleeding. gasping for air. life threating. Send paramedics now.
disaster,trapped,in_building,1,hlp pls. trapped inside building. stuck in building. Need help now.
disaster,structure_damage,severe,1,This is an emergency. trapped under rubble. Please send help immediately.
medical,medical,injury,1,Need urgent medical assistance!. car accident injuries. responsive. urgent. pls respond quick.
medical,medical,light_bleeding,3,pls help. bleeding has slowed. Patient is elderly man. waiting 4 help.
medical,medical,light_bleeding,3,pls help. small cut bleeding. immediate response needed.
disaster,flooding,street_flooding,3,Anyone there?. streets underwater. cant get out flooded roads. respond asap.
disaster,other,,,need assistance rn. Waiting for assistance.
medical,medical,heavy_bleeding,1,Need urgent medical assistance!. so much blood. send amb now.
medical,medical,illness,2,need ambulance rn. stroke maybe idk. Patient is teenager. real bad. send someone fast pls.
disaster,other,,,urgent. send emergency services.
medical,medical,illness,2,Need urgent medical assistance!. chest pains. difficulty breathing. situation bad. Need emergency medical services.
medical,medical,illness,2,need paramedic quick. heart attack symptoms. Patient is infant. breathing normally. critical condition. pls respond quick.
medical,medical,illness,2,Medical emergency!. severe abdominal pain. Patient is adult female. difficulty breathing. time sensitive. pls hurry.
disaster,infrastructure_damage,other,4,need assistance rn. infrastructure damaged. hurry pls.
medical,medical,light_bleeding,3,Urgent medical situation here. scrape bleeding a little. alert and conscious. stopped breathing. life threatening. need help asap.
medical,medical,light_bleeding,3,We need help. minor injury with bleeding. Patient is child. in and out of consciousness. not breathing. its bad. send help now.
disaster,fire,wildfire,1,pls help. fire jumping from tree to tree. big wildfire spreading fast. hurry pls.
disaster,fire,wildfire,1,omg help. forest fire heading towards us. need help rn.
medical,medical,illness,2,Urgent medical situation here. seizure happening. Patient is young adult. alert and conscious. not breathing. hurry pls. help needed urgent.
disaster,missing_person,elderly,1,help!!. elderly person lost. waiting for help.
disaster,missing_person,child,1,omg help. cant find my kid. send emergency services.
medical,medical,heavy_bleeding,1,Requesting immediate medical help. bleding bad. disoriented. its bad. send help now.
disaster,evacuation,voluntary,5,help us. need to evacuate maybe. send help quick.
medical,medical,illness,2,help plz. food poisoning maybe. Patient is adult female. confused. severe. send paramedics rn.
medical,medical,light_bleeding,3,help!!. small cut bleeding. Patient is child. real bad. Need medical help urgently.
medical,medical,unconscious,2,emergency pls send help. won't wake up. pls send ambulance asap.
medical,medical,heavy_bleeding,1,Emergency!. person bleeding alot. Patient is teenager. difficulty breathing. critical. Please hurry.
medical,medical,illness,2,SOS. seizure happening. send someone plz.
medical,medical,light_bleeding,3,hlp. small cut bleeding. Patient is adult male. alert and conscious. life threating. Requesting immediate medical response.
medical,medical,injury,1,Someone is hurt!. head injry bad. Patient is elderly woman. stopped breathing. send amb now.
disaster,missing_person,adult,2,urgent. someone hasnt come back. Please send help immediately.
disaster,flooding,flash_flood,1,hlp pls. rapid flooding. need immediate response.
disaster,utility,power_outage,4,need help now. blackout. electric grid down. hurry pls.
disaster,supply_request,other,,anybody there. need help with resources. Please send help immediately.
medical,medical,injury,1,need paramedic quick. someones hurt idk how bad. alert and conscious. Need medical help urgently.
disaster,missing_person,child,1,theres emergency. lost my child. waiting for help.
disaster,fire,vehicle_fire,3,anybody there. truck burning. waiting for help.
disaster,supply_request,other,,Emergency!. need emergency suplies. Waiting for assistance.
medical,medical,unconscious,2,Emergency!. lost conciousness. Patient is child. real bad. pls respond quick.
disaster,missing_person,adult,2,Please help!. person disappeared. person disappeared idk where. Requesting immediate response.
medical,medical,injury,1,need help asap. got hurt badly. Patient is adult male. life threatening. time critical.
medical,medical,illness,2,need help asap. difficulty breathing. Patient is child. in and out of consciousness. gasping for air. life threatening. Send paramedics now.
disaster,trapped,under_debris,1,urgent help needed. trapped under stuff help. respond asap.
medical,medical,injury,1,Emergency!. arm broke or smth. gasping for air. life threatening. Need emergency medical services.
medical,medical,unconscious,2,We need help. blacked out. Send someone as fast as possible.
disaster,supply_request,clothing,4,Help help. need warm clothing. clothes destroyed. help needed now.
medical,medical,illness,2,Someone is hurt!. diabetic emergency. Patient is child. semi-conscious. critical condition. pls respond quick.
disaster,other,,,Anyone there?. hurry pls.
disaster,infrastructure_damage,other,4,Anyone there?. public facility destroyed. pls respond.
medical,medical,injury,1,medical emerg. got hurt fr. Patient is infant. breathing normally. time critical.
disaster,other,,,need assistance rn. Please send help immediately.
disaster,utility,gas_leak,1,This is an emergency. smells like gas bad. need immediate response.
disaster,flooding,flash_flood,1,We need help. rapid flooding. Waiting for assistance.
medical,medical,illness,2,Please help!. allergic shock or smth. confused. breathing normally. urgent asap. Please respond quickly.
medical,medical,heavy_bleeding,1,Emergency!. bleeding from head bad. Patient is elderly man. unresponsive. hurry pls. send paramedics rn.
disaster,missing_person,adult,2,pls help. missing person. person disappeared idk where. waiting for help.
medical,medical,heavy_bleeding,1,SOS. blood everywhere. help needed urgent.
disaster,flooding,flash_flood,1,SOS. flood coming quick. water rising real fast. Please send help immediately.
disaster,supply_request,other,,This is an emergency. need basic necessities. need suplies. Need help now.
medical,medical,injury,1,Emergency!. arm injury. Patient is elderly man. semi-conscious. labored breathing. needs immediate attention. send someone plz.
disaster,evacuation,voluntary,5,help needed asap. should we evacuate?. over n out.
medical,medical,light_bleeding,3,somebody hurt help. minor bleeding. Patient is young adult. come quick.
medical,medical,illness,2,somebody hurt help. stroke maybe idk. Patient is elderly man. needs immediate attention. pls respond quick.
disaster,fire,vehicle_fire,3,Need urgent assistance!. vehicle burning bad. Waiting for assistance.
disaster,other,,,Anyone there?. Please respond.
medical,medical,heavy_bleeding,1,need paramedic quick. so much blood. Patient is elderly man. alert and conscious. immediate action needed. Need medical help urgently.
medical,medical,illness,2,help!!. bad reaction to medication. Patient is child. alert and conscious. urgent asap. time critical.
medical,medical,injury,1,Need paramedics now. suffered an injury. Patient is adult female. confused. getting worse. Time is critical.
disaster,utility,water_outage,2,We need help. no water. pls respond.
disaster,flooding,flash_flood,1,anybody there. sudden flood waters rising. flash flood area. Need help now.
medical,medical,injury,1,somebody hurt help. arm broke or smth. Patient is elderly woman. needs immediate attention. Time is critical.
disaster,supply_request,clothing,4,mayday. clothes destroyed. help needed now.
medical,medical,heavy_bleeding,1,Please help!. serious laceration bleeding. Patient is adult male. unconscious. need ambulance quick.
medical,medical,unconscious,2,Urgent medical situation here. he out cold. super urgent. help needed urgent.
disaster,structure_damage,light,4,Requesting immediate help. light structural damage. Waiting for assistance.
medical,medical,injury,1,Need paramedics now. hurt in sports thing. rapid breathing. hurry pls.
medical,medical,unconscious,2,Urgent medical situation here. lost consciousness. unresponsive. extremely urgent. Time is critical.
disaster,infrastructure_damage,road,5,Urgent situation here. highway damaged. hurry pls.
disaster,other,,,hlp pls. Waiting for assistance.
disaster,supply_request,clothing,4,Please help!. need blankets n clothes. need clothes. respond asap.
medical,medical,illness,2,medical emerg. guy not breathing right. labored breathing. situation bad. send paramedics rn.
medical,medical,light_bleeding,3,We need help. scrape bleeding a little. in and out of consciousness. need medical help bad.
disaster,missing_person,elderly,1,need help now. cant find elderly relative. pls respond.
disaster,structure_damage,light,4,Emergency!. light structural damage. Please send help immediately.
medical,medical,unconscious,2,Emergency!. no response at all. time critical.
medical,medical,unconscious,2,Urgent medical situation here. unconscious but breathing. confused. critical condition. come quick.
medical,medical,heavy_bleeding,1,emergency pls send help. critical bleed. Patient is young adult. hurry pls. Send someone as fast as possible.
medical,medical,injury,1,Help help. leg messed up. confused. super urgent. pls send ambulance asap.
disaster,flooding,house_flooding,2,help!!. home filling with water. Over and out.
disaster,supply_request,clothing,4,Help help. clothes destroyed. Please respond.
disaster,other,,,emergency help. over n out.
medical,medical,injury,1,We need help. multiple injuries. its bad. send help now.
disaster,flooding,flash_flood,1,anybody there. rapid flooding. flood coming quick. send someone quick.
disaster,trapped,in_building,1,Urgent situation here. trapped in the structure. Please respond.
medical,medical,injury,1,need help asap. suffered an injury. Patient is young adult. send someone fast pls.
disaster,trapped,in_building,1,We need help. trapped in building. Please send help immediately.
medical,medical,heavy_bleeding,1,medical situation bad. cant stop bleeding. Need medical help urgently.
disaster,evacuation,voluntary,5,help!!. thinking bout evacuating. Requesting immediate response.
medical,medical,illness,2,Please help!. guy real sick. Patient is young adult. unresponsive. gasping for air. getting worse fast. waiting 4 help.
medical,medical,heavy_bleeding,1,Please help!. massive blood loss. Patient is adult male. getting worse fast. Please send ambulance immediately.
medical,medical,heavy_bleeding,1,Need paramedics now. bleeding from injury. Patient is senior citizen. unconscious. not breathing. its bad. immediate response needed.
disaster,missing_person,elderly,1,Urgent situation here. senior citizen wandered off. send help quick.
disaster,supply_request,other,,help needed asap. need emergency suplies. pls send help asap.
medical,medical,light_bleeding,3,Help help. bleeding has slowed. disoriented. help needed urgent.
disaster,evacuation,voluntary,5,Need urgent assistance!. should we evacuate. hurry pls.
disaster,infrastructure_damage,road,5,mayday. street destroyed bad. road cant pass. need immediate response.
medical,medical,heavy_bleeding,1,Someone is hurt!. so much bleeding idk what to do. Patient is middle-aged person. urgent asap. send someone plz.
medical,medical,injury,1,somebody hurt help. accident victim here. shallow breathing. critical condition. need medical help bad.
disaster,missing_person,child,1,need assistance rn. kid wandered off. send help quick.
disaster,supply_request,clothing,4,Help help. need warm cloths. Need help now.
medical,medical,injury,1,Need urgent medical assistance!. car accident injuries. Patient is adult male. rapid breathing. need ems.
medical,medical,light_bleeding,3,help plz. minor laceration. Patient is middle-aged person. difficulty breathing. getting worse fast. waiting 4 help.
disaster,evacuation,mandatory,1,Help help. ordered to leave area. must evacuate now. Send someone quickly.
disaster,flooding,street_flooding,3,SOS. cant drive flooded. need immediate response.
disaster,missing_person,child,1,mayday. kid missing. child is missing. Need help now.
disaster,missing_person,child,1,Emergency!. lost my child. need immediate response.
disaster,structure_damage,moderate,2,urgent. walls cracking bad. Send emergency services.
disaster,utility,gas_leak,1,anybody there. smell gas everywhere. send emergency services.
disaster,trapped,in_vehicle,2,mayday. stuck in truck. can't get out of vehicle. Send emergency services.
disaster,missing_person,adult,2,mayday. missing person. someone hasn't returned. Please send help immediately.
medical,medical,unconscious,2,Emergency!. unconcious not breathing. semi-conscious. breathing normally. real bad. immediate response needed.
disaster,fire,structural_fire,2,Emergency!. building is on fire. smoke coming from the roof. Send someone quickly.
medical,medical,unconscious,2,Requesting immediate medical help. barely concious. breathing normally. need ambulance quick.
disaster,utility,gas_leak,1,theres emergency. strong gas smell. strong gas odor. Waiting for assistance.
disaster,utility,water_outage,2,urgent. pipes dry no water. help needed now.
medical,medical,light_bleeding,3,send amb pls. bleeding has slowed. send someone fast pls.
medical,medical,illness,2,urgent hlp needed. stroke maybe idk. Patient is elderly woman. super urgent. waiting 4 help.
disaster,supply_request,water,2,"hlp pls. dehydrated, need water. Requesting immediate response."
disaster,evacuation,mandatory,1,Mayday mayday. have to evacuate now. hurry pls.
medical,medical,heavy_bleeding,1,Urgent medical situation here. heavy bleeding. Patient is infant. breathing normally. situation bad. come quick.
disaster,supply_request,clothing,4,Please help!. need warm cloths. Requesting immediate response.
disaster,supply_request,water,2,omg help. no drinking water. no clean water. respond asap.
medical,medical,injury,1,Need paramedics now. arm broke or smth. stopped breathing. super urgent. time critical.
medical,medical,light_bleeding,3,medical situation bad. light blood loss. Patient is elderly man. labored breathing. send paramedics rn.
disaster,missing_person,elderly,1,help!!. cant find elderly relative. old man/woman missing. send emergency services.
disaster,fire,structural_fire,2,Help help. fire in building bad. apt complex burning. need help rn.
medical,medical,light_bleeding,3,Medical emergency!. bleeding controlled but needs attention. Patient is young adult. confused. help needed urgent.
medical,medical,illness,2,medical situation bad. got sick suddenly idk why. alert and conscious. shallow breathing. getting worse fast. pls send ambulance asap.
disaster,fire,vehicle_fire,3,urgent. vehicle burning bad. need help rn.
disaster,flooding,house_flooding,2,Requesting immediate help. house is flooding. Send someone quickly.
medical,medical,unconscious,2,Someone is hurt!. person is unconscious. breathing normally. time sensitive. Send help right away.
disaster,infrastructure_damage,road,5,This is an emergency. street destroyed. respond asap.
disaster,structure_damage,moderate,2,help us. moderate damage. Send emergency services.
medical,medical,unconscious,2,Medical emergency!. fainted. Patient is adult male. breathing normally. getting worse. need ambulance quick.
medical,medical,injury,1,theres emergency here. leg injury. Patient is infant. stopped breathing. Send someone as fast as possible.
disaster,other,,,Please help!. Waiting for assistance.
medical,medical,unconscious,2,send amb pls. barely conscious. its bad. need help asap.
disaster,utility,water_outage,2,mayday. no water supply. pipes dry. need immediate response.
disaster,missing_person,elderly,1,hlp pls. senior wandered off. send emergency services.
medical,medical,heavy_bleeding,1,Medical emergency!. deep cut bleeding heavily. breathing normally. getting worse fast. Waiting for medical assistance.
medical,medical,heavy_bleeding,1,medical emerg. heavy bleeding. Patient is adult male. unresponsive. stopped breathing. needs immediate attention. Need emergency medical services.
medical,medical,injury,1,This is a medical emergency. arm broke or smth. Patient is middle-aged person. semi-conscious. urgent. send help now.
disaster,flooding,flash_flood,1,Urgent situation here. flash flood warning area. flood coming quick. over n out.
medical,medical,illness,2,omg need help. fever crazy high. Patient is elderly man. pls send ambulance asap.
disaster,missing_person,adult,2,need assistance rn. cant find family member. can't locate family member. need help rn.
disaster,infrastructure_damage,bridge,3,help!!. bridge collapse. bridge gone. send someone quick.
disaster,flooding,flash_flood,1,This is an emergency. flash flood coming. flash flood warning area. hurry pls.
medical,medical,unconscious,2,help!!. going in n out of conciousness. Patient is elderly woman. alert and conscious. situation bad. respond asap.
disaster,missing_person,child,1,SOS. minor gone missing. Requesting immediate response.
medical,medical,illness,2,Need urgent medical assistance!. bad reaction to medication. Patient is adult male. semi-conscious. Need emergency medical services.
medical,medical,injury,1,Medical emergency!. arm injury. confused. breathing normally. time sensitive hurry. hurry pls.
medical,medical,injury,1,emergency pls send help. arm injury. confused. not breathing. Please hurry.
medical,medical,unconscious,2,Help help. person is unconscious. Patient is child. situation bad. hurry pls.
medical,medical,light_bleeding,3,Requesting immediate medical help. bleeding from minor wound. disoriented. stopped breathing. situation bad. need medical help bad.
disaster,evacuation,mandatory,1,Anyone there?. ordered to leave area. send help quick.
medical,medical,injury,1,hlp. leg injury. shallow breathing. need ems.
medical,medical,unconscious,2,medical situation bad. barely conscious. difficulty breathing. Waiting for medical assistance.
disaster,missing_person,adult,2,pls help. cant find family member. over n out.
disaster,missing_person,adult,2,urgent. person gone missing. someone hasnt come back. send someone quick.
disaster,evacuation,voluntary,5,Requesting immediate help. planning to leave. considering evacuation. Please send help immediately.
disaster,flooding,house_flooding,2,Urgent situation here. house is flooding. basement completely flooded. send emergency services.
disaster,fire,structural_fire,2,Help help. structure engulfed in flames. smoke from roof. send emergency services.
disaster,trapped,under_debris,1,Help help. under wreckage. Over and out.
disaster,fire,wildfire,1,Mayday mayday. massive wildfire spreading fast. send emergency services.
medical,medical,illness,2,Need paramedics now. seizure happening. Patient is adult female. disoriented. need attention now. need ems.
medical,medical,injury,1,Medical emergency!. twisted ankle cant walk. Patient is adult male. breathing normally. condition worsening. need medical help bad.
disaster,fire,vehicle_fire,3,emergency situation. truck burning. vehicle in flames on the road. Requesting immediate response.
medical,medical,light_bleeding,3,We need help. small wound bleeding. pls hurry.
disaster,supply_request,clothing,4,Need urgent assistance!. need cloths. need immediate response.
medical,medical,illness,2,medical situation bad. guy not breathing right. life threating. Requesting immediate medical response.
disaster,utility,gas_leak,1,help!!. strong gas smell. gas line broke. pls send help asap.
disaster,flooding,flash_flood,1,anybody there. flood water rising fast. help needed now.
medical,medical,unconscious,2,This is a medical emergency. barely conscious. immediate action needed. send help now.
medical,medical,injury,1,omg need help. sports injury. responsive. real bad. Need emergency medical services.
medical,medical,unconscious,2,Requesting immediate medical help. he out cold. gasping for air. situation deteriorating rapidly. Please send ambulance immediately.
disaster,utility,water_outage,2,hlp pls. pipes dry no water. water out. pls send help asap.
disaster,infrastructure_damage,road,5,emergency situation. road washed away help. Send someone quickly.
medical,medical,unconscious,2,We need help. unconscious but breathing. alert and conscious. needs immediate attention. send someone plz.
disaster,utility,water_outage,2,Help help. no water. Send emergency services.
